2025-09-21 19:01:32,822 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 26.387 (26.269) | MSSSIM 0.812 (0.857) | Lr 0.0001
2025-09-21 19:01:32,972 - INFO] Time 0.074 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 29.893 (26.427) | MSSSIM 0.932 (0.860) | Lr 0.0001
2025-09-21 19:01:33,124 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 23.580 (26.308) | MSSSIM 0.807 (0.858) | Lr 0.0001
2025-09-21 19:01:33,274 - INFO] Time 0.074 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 24.656 (24.656) | MSSSIM 0.837 (0.837) | Lr 0.0001
2025-09-21 19:01:33,425 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 30.641 (27.648) | MSSSIM 0.899 (0.868) | Lr 0.0001
2025-09-21 19:01:33,574 - INFO] Time 0.074 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 32.447 (29.248) | MSSSIM 0.953 (0.896) | Lr 0.0001
2025-09-21 19:01:33,766 - INFO] Time 0.115 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 30.243 (29.497) | MSSSIM 0.921 (0.902) | Lr 0.0001
2025-09-21 19:01:33,955 - INFO] Time 0.112 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 22.960 (28.189) | MSSSIM 0.822 (0.886) | Lr 0.0001
2025-09-21 19:01:34,106 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 26.695 (27.940) | MSSSIM 0.857 (0.881) | Lr 0.0001
2025-09-21 19:01:34,259 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 28.981 (28.089) | MSSSIM 0.935 (0.889) | Lr 0.0001
2025-09-21 19:01:34,412 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 22.314 (27.367) | MSSSIM 0.864 (0.886) | Lr 0.0001
